match_no,date,stage,venue,city,innings,batting_team,bowling_team,batting_team_full,bowling_team_full,over,legal_ball_number,is_legal_delivery,striker,bowler,runs_of_bat,extras,wide,legbyes,byes,noballs,runs_this_ball,is_wicket,wicket_type,player_dismissed,fielder,total_runs,total_wickets,wickets_remaining,balls_bowled,balls_remaining,crr,is_boundary,is_dot,phase,target,runs_to_win,rrr
2,"Mar 29, 2026",League stage,"Wankhede Stadium, Mumbai",Mumbai,1,KKR,MI,Kolkata Knight Riders,Mumbai Indians,10.5,65,1,Ajinkya Rahane,AM Ghazanfar,0,1,0,1,0,0,1,0,,,,131,2,8,65,55,12.09,0,0,Middle,,,
2,"Mar 29, 2026",League stage,"Wankhede Stadium, Mumbai",Mumbai,1,KKR,MI,Kolkata Knight Riders,Mumbai Indians,10.6,66,1,Angkrish Raghuvanshi,AM Ghazanfar,0,0,0,0,0,0,0,0,,,,131,2,8,66,54,11.91,0,1,Middle,,,
2,"Mar 29, 2026",League stage,"Wankhede Stadium, Mumbai",Mumbai,1,KKR,MI,Kolkata Knight Riders,Mumbai Indians,11.1,67,1,Ajinkya Rahane,Jasprit Bumrah,1,0,0,0,0,0,1,0,,,,132,2,8,67,53,11.82,0,0,Middle,,,
2,"Mar 29, 2026",League stage,"Wankhede Stadium, Mumbai",Mumbai,1,KKR,MI,Kolkata Knight Riders,Mumbai Indians,11.2,68,1,Angkrish Raghuvanshi,Jasprit Bumrah,1,0,0,0,0,0,1,0,,,,133,2,8,68,52,11.74,0,0,Middle,,,
2,"Mar 29, 2026",League stage,"Wankhede Stadium, Mumbai",Mumbai,1,KKR,MI,Kolkata Knight Riders,Mumbai Indians,11.3,69,1,Ajinkya Rahane,Jasprit Bumrah,1,0,0,0,0,0,1,0,,,,134,2,8,69,51,11.65,0,0,Middle,,,
2,"Mar 29, 2026",League stage,"Wankhede Stadium, Mumbai",Mumbai,1,KKR,MI,Kolkata Knight Riders,Mumbai Indians,11.4,70,1,Angkrish Raghuvanshi,Jasprit Bumrah,0,0,0,0,0,0,0,0,,,,134,2,8,70,50,11.49,0,1,Middle,,,
2,"Mar 29, 2026",League stage,"Wankhede Stadium, Mumbai",Mumbai,1,KKR,MI,Kolkata Knight Riders,Mumbai Indians,11.5,71,1,Angkrish Raghuvanshi,Jasprit Bumrah,1,0,0,0,0,0,1,0,,,,135,2,8,71,49,11.41,0,0,Middle,,,
2,"Mar 29, 2026",League stage,"Wankhede Stadium, Mumbai",Mumbai,1,KKR,MI,Kolkata Knight Riders,Mumbai Indians,11.6,72,1,Ajinkya Rahane,Jasprit Bumrah,1,0,0,0,0,0,1,0,,,,136,2,8,72,48,11.33,0,0,Middle,,,
2,"Mar 29, 2026",League stage,"Wankhede Stadium, Mumbai",Mumbai,1,KKR,MI,Kolkata Knight Riders,Mumbai Indians,12.1,73,1,Ajinkya Rahane,Trent Boult,0,0,0,0,0,0,0,0,,,,136,2,8,73,47,11.18,0,1,Middle,,,
2,"Mar 29, 2026",League stage,"Wankhede Stadium, Mumbai",Mumbai,1,KKR,MI,Kolkata Knight Riders,Mumbai Indians,12.2,74,1,Ajinkya Rahane,Trent Boult,1,0,0,0,0,0,1,0,,,,137,2,8,74,46,11.11,0,0,Middle,,,
2,"Mar 29, 2026",League stage,"Wankhede Stadium, Mumbai",Mumbai,1,KKR,MI,Kolkata Knight Riders,Mumbai Indians,12.3,75,1,Angkrish Raghuvanshi,Trent Boult,0,0,0,0,0,0,0,0,,,,137,2,8,75,45,10.96,0,1,Middle,,,
2,"Mar 29, 2026",League stage,"Wankhede Stadium, Mumbai",Mumbai,1,KKR,MI,Kolkata Knight Riders,Mumbai Indians,12.4,76,1,Angkrish Raghuvanshi,Trent Boult,2,0,0,0,0,0,2,0,,,,139,2,8,76,44,10.97,0,0,Middle,,,
2,"Mar 29, 2026",League stage,"Wankhede Stadium, Mumbai",Mumbai,1,KKR,MI,Kolkata Knight Riders,Mumbai Indians,12.5,77,1,Angkrish Raghuvanshi,Trent Boult,4,0,0,0,0,0,4,0,,,,143,2,8,77,43,11.14,1,0,Middle,,,
